File_Name,no_of_images,Base_Call_no,Call_no_letter,Call_no_number,Item_number,Series,Main_Entry,Dates_Covered,Dates_Written,Places,Language,Summary_Notes,Arrangement,Item_dateYear,Filing_year,Month,Day,Item_Title,no_pages,no_pieces,Abstract_Summary_of_item,placeTerm,Additional_Notes,Metadata,Sarah_Proofing_Notes,recpt,fulldate
ksrl_sc_ms23_D.2.18_001.TIF & ksrl_sc_ms23_D.2.18_002.TIF,2,MS23,D,2,18,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,1878,1878,3,14,Letter to Dear Mr Hall_ [Charles Edward Hall_],1,1,"1878 Mar 14, 16 Cheyne Walk; Begins: ""Mr W. B. Scott, one of the few truly poetic-minded painters among us—""",England--London,Provenance: Gift W. D. Paden; Paden List 20 (C. 48),Y,,"Hall, Charles Edward",1878-03-14
ksrl_sc_ms23_D.2.19_001.TIF & ksrl_sc_ms23_D.2.19_002.TIF & ksrl_sc_ms23_D.2.19_003.TIF,3,MS23,D,2,19,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,1881,1881,1,,"Letter to Lord Mount-Temple [Baron Mount-Temple, William Francis Cowper-Temple]",4,1,"1881 Jan, 16 Cheyne Walk; Begins: ""My oldest & dearest friend, Ford Madox Brown, is very desirous if possible to fill with his work one of the remaining picture spaces in the House of Lords.""",England--London,Provenance: Gift W. D. Paden; Paden List 21 (C. 56),Y,,"Mount-Temple, William Francis Cowper-Temple, Baron, 1811-1888",1881-01
ksrl_sc_ms23_D.2.20_001.TIF & ksrl_sc_ms23_D.2.20_002.TIF,2,MS23,D,2,20,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Visiting Card,2,1,"Visiting Card, ""Mr D. G. Rossetti. 16 Cheyne Walk, Chelsea"" with pencil message. Begins:"" Saturday. Will you come down to dinner today—""",England--London,Provenance: Gift W. D. Paden; Paden List 4 (C. 26),Y,,,
ksrl_sc_ms23_D.3.1_001.TIF & ksrl_sc_ms23_D.3.1_002.TIF & ksrl_sc_ms23_D.3.1_003.TIF & ksrl_sc_ms23_D.3.1_004.TIF & ksrl_sc_ms23_D.3.1_005.TIF & ksrl_sc_ms23_D.3.1_006.TIF & ksrl_sc_ms23_D.3.1_007.TIF & ksrl_sc_ms23_D.3.1_008.TIF & ksrl_sc_ms23_D.3.1_009.TIF & ksrl_sc_ms23_D.3.1_010.TIF,10,MS23,D,3,1,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,1871,1871,11,6,Letter to Algernon Charles Swinburne,10 + envelope,4,"1871 Nov 6, Cheyne Walk; Pseudonymity of B.B. [i.e. on Robert Buchanan's pseudonymous attack ""The fleshly School of Poetry"" and Rossetti's envisaged retort: wants Swinburne's comments. Swinburne makes himself vulnerable by his wild japes, which he should give up. Awaiting publication of Prelude to Tristan: Swinburne should not get into such a publication
mess again. Description of his poem Rose Mary. Brown's illustrations to R. HÈffer. [Envelope (dated 7th) may not go with this letter, but likely does.]",England--London,"Provenance: Purchase: Quaritch 756:557
Date of acquisition: 1956 (Rose Morgan Fund)",Y,,"Swinburne, Algernon Charles, 1837-1909",1871-11-06
ksrl_sc_ms23_D.3.2_001.TIF & ksrl_sc_ms23_D.3.2_002.TIF & ksrl_sc_ms23_D.3.2_003.TIF & ksrl_sc_ms23_D.3.2_004.TIF,4,MS23,D,3,2,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,1871?,1871,,,Letter to Algernon Charles Swinburne,4,2,"[no date] Reply to Swinburne's reply to item 1. Shall change retort as Swinburne wishes. Swinburne should be careful not to circulate things he does not want to be made public: ""Every line you have ever written will one day be religiously raked up by... exploiteurs..."" even though his friends should properly destroy them. Literary gossip.",,"Provenance: Purchase: Quaritch 756:557
Date of acquisition: 1956 (Rose Morgan Fund)",Y,,"Swinburne, Algernon Charles, 1837-1909",1871
ksrl_sc_ms23_D.3.3_001.TIF & ksrl_sc_ms23_D.3.3_002.TIF & ksrl_sc_ms23_D.3.3_003.TIF,3,MS23,D,3,3,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,1867?,1867,,,Letter to Algernon Charles Swinburne,3,1,"[1867?] Tuesday, Cheyne Walk; Invitation to dinner; Swinburne's Blake; facsimile of Blake's Marriage of Heaven and Hell good news.",England--London,"Provenance: Purchase: Quaritch 756:557
Date of acquisition: 1956 (Rose Morgan Fund)",Y,,"Swinburne, Algernon Charles, 1837-1909",1867
ksrl_sc_ms23_D.4.1_001.TIF & ksrl_sc_ms23_D.4.1_002.TIF & ksrl_sc_ms23_D.4.1_003.TIF,3,MS23,D,4,1,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,4,1,"Wednesday. ""The profile is left out in readiness..."" With doodle.",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1911",
ksrl_sc_ms23_D.4.2_001.TIF & ksrl_sc_ms23_D.4.2_002.TIF & ksrl_sc_ms23_D.4.2_003.TIF,3,MS23,D,4,2,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,4,1,"Monday. [Herne Bay?]; ""I don't know whether you are in or out of town—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1912",
ksrl_sc_ms23_D.4.3_001.TIF & ksrl_sc_ms23_D.4.3_002.TIF & ksrl_sc_ms23_D.4.3_003.TIF,3,MS23,D,4,3,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,4,1,"Monday; ""Will Thursday suit you to dine—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1913",
ksrl_sc_ms23_D.4.4_001.TIF & ksrl_sc_ms23_D.4.4_002.TIF,2,MS23,D,4,4,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Thursday; ""I will hope to see you to paint—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1914",
ksrl_sc_ms23_D.4.5_001.TIF & ksrl_sc_ms23_D.4.5_002.TIF,2,MS23,D,4,5,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,2,1,"Sunday; ""I may probably be sending for the mantle—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1915",
ksrl_sc_ms23_D.4.6_001.TIF & ksrl_sc_ms23_D.4.6_002.TIF,2,MS23,D,4,6,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,2,1,"Tuesday; ""I'm afraid things seem to militate against your coming—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1916",
ksrl_sc_ms23_D.4.7_001.TIF & ksrl_sc_ms23_D.4.7_002.TIF,2,MS23,D,4,7,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Thursday; ""After all I find that Wed...""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1917",
ksrl_sc_ms23_D.4.8_001.TIF & ksrl_sc_ms23_D.4.8_002.TIF,2,MS23,D,4,8,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,2,1,"Monday; ""Everything miscarries, and this is my third evening—"" With sum.",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1918",
ksrl_sc_ms23_D.4.9_001.TIF & ksrl_sc_ms23_D.4.9_002.TIF &ksrl_sc_ms23_D.4.9_003.TIF & ksrl_sc_ms23_D.4.9_004.TIF & ksrl_sc_ms23_D.4.9_005.TIF & ksrl_sc_ms23_D.4.9_006.TIF,6,MS23,D,4,9,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,7,2,"Wednesday; ""It is unpleasant to hear of your having suffered—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1919",
ksrl_sc_ms23_D.4.10_001.TIF & ksrl_sc_ms23_D.4.10_002.TIF,2,MS23,D,4,10,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Monday; ""Did you get my note (posted Saturday—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1920",
ksrl_sc_ms23_D.4.11_001.TIF & ksrl_sc_ms23_D.4.11_002.TIF & ksrl_sc_ms23_D.4.11_003.TIF,3,MS23,D,4,11,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,1879,1879,7,16,Letter to Frederic James Shields,4,1,"1879 July 16; ""I was most glad to hear that Mrs. Fields—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],C,,"Shields, Frederic, 1833-1921",1879-07-16
ksrl_sc_ms23_D.4.12_001.TIF & ksrl_sc_ms23_D.4.12_002.TIF,2,MS23,D,4,12,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,1878?,1878,9,4,Postcard to Frederic James Shields,1 + address,1,"[1878 Sept 4] Cheyne Walk; ""You might tell friend B. —""",England--London,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1922",1878-09-04
ksrl_sc_ms23_D.4.13_001.TIF & ksrl_sc_ms23_D.4.13_002.TIF,2,MS23,D,4,13,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Monday; ""Tomorrow (Tuesday) will suit me, and I advise—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1923",
ksrl_sc_ms23_D.4.14_001.TIF & ksrl_sc_ms23_D.4.14_002.TIF & ksrl_sc_ms23_D.4.14_003.TIF,3,MS23,D,4,14,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,2,1,"Saturday; ""I cannot say that the letter of Richard's Kinsman—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1924",
ksrl_sc_ms23_D.4.15_001.TIF & ksrl_sc_ms23_D.4.15_002.TIF,2,MS23,D,4,15,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Thursday night; ""I much wanted to talk to you—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1925",
ksrl_sc_ms23_D.4.16_001.TIF & ksrl_sc_ms23_D.4.16_002.TIF,2,MS23,D,4,16,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Thursday; ""I will hope to see you tomorrow (Friday) tho'—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1926",
ksrl_sc_ms23_D.4.17_001.TIF & ksrl_sc_ms23_D.4.17_002.TIF & ksrl_sc_ms23_D.4.17_003.TIF,3,MS23,D,4,17,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,2,1,"Sunday; ""I fear by your not coming—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1927",
ksrl_sc_ms23_D.4.18_001.TIF & ksrl_sc_ms23_D.4.18_002.TIF & ksrl_sc_ms23_D.4.18_003.TIF,3,MS23,D,4,18,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,2,1,"Thursday, [Liverpool?]; ""Samuelson has decided against the varnishing—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1928",
ksrl_sc_ms23_D.4.19_001.TIF & ksrl_sc_ms23_D.4.19_002.TIF & ksrl_sc_ms23_D.4.19_003.TIF,3,MS23,D,4,19,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,3,1,"Monday; ""I remember it was not quite settled—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1929",
ksrl_sc_ms23_D.4.20_001.TIF & ksrl_sc_ms23_D.4.20_002.TIF,2,MS23,D,4,20,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Friday; ""I shd be very glad if Monday suited you—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1930",
ksrl_sc_ms23_D.4.21_001.TIF & ksrl_sc_ms23_D.4.21_002.TIF & ksrl_sc_ms23_D.4.21_003.TIF,3,MS23,D,4,21,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,2,1,"Thursday; ""I will not look for you tomorrow—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1931",
ksrl_sc_ms23_D.4.22_001.TIF & ksrl_sc_ms23_D.4.22_002.TIF,2,MS23,D,4,22,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,2,1,"Sunday [?]; ""I will hope to see you on Tuesday, trusting that Mrs Shields—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1932",
ksrl_sc_ms23_D.4.23_001.TIF & ksrl_sc_ms23_D.4.23_002.TIF,2,MS23,D,4,23,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Tuesday; ""I was sorry to miss you and to hear of Miss—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1933",
ksrl_sc_ms23_D.4.24_001.TIF & ksrl_sc_ms23_D.4.24_002.TIF,2,MS23,D,4,24,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Thursday; ""I quite forgot to ask you yesterday—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1934",
ksrl_sc_ms23_D.4.25_001.TIF & ksrl_sc_ms23_D.4.25_002.TIF,2,MS23,D,4,25,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,3,1,"Thursday; ""In spite of what I wrote—"" With doodle.",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1935",
ksrl_sc_ms23_D.4.26_001.TIF & ksrl_sc_ms23_D.4.26_002.TIF,2,MS23,D,4,26,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Friday; ""Very glad to see you tomorrow Saturday at 1-30—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1936",
ksrl_sc_ms23_D.4.27_001.TIF & ksrl_sc_ms23_D.4.27_002.TIF,2,MS23,D,4,27,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Friday; ""I'll hope to see you tomorrow as appointed—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1937",
ksrl_sc_ms23_D.4.28_001.TIF & ksrl_sc_ms23_D.4.28_002.TIF,2,MS23,D,4,28,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Friday; ""When I see you (as I hope) tomorrow (Saty) will you bring the Clarissa? —""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1938",
ksrl_sc_ms23_D.4.29_001.TIF & ksrl_sc_ms23_D.4.29_002.TIF,2,MS23,D,4,29,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Wednesday; ""I remember I said something as to time—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1939",
ksrl_sc_ms23_D.4.30_001.TIF & ksrl_sc_ms23_D.4.30_002.TIF,2,MS23,D,4,30,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,1,1,"Sunday; ""I am very sorry you were so unwell on Friday—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1940",
ksrl_sc_ms23_D.4.31_001.TIF & ksrl_sc_ms23_D.4.31_002.TIF & ksrl_sc_ms23_D.4.31_003.TIF & ksrl_sc_ms23_D.4.31_004.TIF & ksrl_sc_ms23_D.4.31_005.TIF,5,MS23,D,4,31,"Rossetti, Dante Gabriel, 1828-1882","Rossetti, Dante Gabriel, 1828-1882",1854-1882; no date,1854-1882,"England: London, Lechlade, Kelmscott, Canterbury, Herne Bay; France: Chamonix; Ireland: Ballyshannon; Scotland: Ayrshire;",English,"Poem drafts, correspondence to and from Dante Gabriel Rossetti.",,no date,,,,Letter to Frederic James Shields,5,2,"Monday. [On mourning paper]; ""I have been looking well [?] at the Lady of the Window—""",,Provenance: Purchase: Maggs 835: 237. [Acquired as a collection: in bookseller's order],Y,,"Shields, Frederic, 1833-1941",
